"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","14474","","","","0"
"2019-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","24083","","","","0"
"2019-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23874","","","","0"
"2019-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13161","","","","0"
"2020-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17077","","","","0"
"2020-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21945","","","","0"
"2020-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17328","","","","0"
"2020-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12011","","","","0"
"2021-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15997","","","","0"
"1961-07","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","24819","","","","0"
"1961-10","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","20448","","","","0"
"1962-01","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","14123","","","","0"
"1962-04","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","13785","","","","0"
"1962-07","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","23818","","","","0"
"1962-10","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","22506","","","","0"
"1963-01","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","12721","","","","0"
"1963-04","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","13386","","","","0"
"1963-07","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","25910","","","","0"
"1963-10","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","20321","","","","0"
"1964-01","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","14464","","","","0"
"1964-04","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","13529","","","","0"
"1964-07","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","26167","","","","0"
"1964-10","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","22312","","","","0"
"1965-01","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","15747","","","","0"
"1965-04","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","14069","","","","0"
"1965-07","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","25864","","","","0"
"1965-10","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","27205","","","","0"
"1966-01","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","15855","","","","0"
"1966-04","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","15111","","","","0"
"1966-07","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","28366","","","","0"
"1966-10","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","30235","","","","0"
"1967-01","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","16348","","","","0"
"1967-04","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v509063","7.2","16159","","","","0"
