"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34179","","","","0"
"2006-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","29444","","","","0"
"2007-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","22344","","","","0"
"2007-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","29478","","","","0"
"2007-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","33291","","","","0"
"2007-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26227","","","","0"
"2008-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23531","","","","0"
"2008-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","32002","","","","0"
"2008-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","31798","","","","0"
"2008-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23572","","","","0"
"2009-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","20963","","","","0"
"2009-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","29090","","","","0"
"2009-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","32979","","","","0"
"2009-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23834","","","","0"
"2010-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","24448","","","","0"
"2010-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","35311","","","","0"
